id,reference,tier,machine_uid,machine_model,controller,setting,process,dataset,doi,host,license,license_flag,native_signals,canonical_channels,new_channels,actions,regime,sampling_hz,timestamps_real,usable_hours,windows_1hz,windows_10hz,independent_units,outcomes,format,size_gb,leakage_vs_v1_datasets,lv_overlap,lv_actions,lv_regime,lv_windows,lv_units,lv_outcomes,lv_licence,lv_provenance,lv_integration,role_fit,score_S,score_T,score_A,score_P,evidence,confidence,verified_on,note
"R33","Rizwan 2026","2","SANJI-VMC650","SANJI VMC 650 (3-axis)","n.d. (external Arduino DAQ)","industry","milling","Spindle vibration and current, low-cost DAQ","10.5281/zenodo.21608173","Zenodo","CC BY 4.0","green","spindle motor current (SCT-013 transformer) + 6-axis IMU","1","IMU","constant (1,800 rpm, 1,500 mm/min)","constant, production","n.d.","yes","n.d.","n.d.","n.d.","24 tool-wear cycles","tool wear cycle","n.d.","n.d.","unseen","1","0","0","1","3","3","3","1","2","X","1.10","1.50","0.70","1.80","S43","repository","2026-09-16","Long production cycles, but no actions."
"R34","Denkena et al. 2026","2","LUH-lathe","IFW lathe (model n.d.)","n.d.","lab","longitudinal turning","Multivariate time series for surface roughness and dimensional error in turning","10.25835/9xffqwnc","LUIS (LUH)","CC BY 3.0","green","""multivariate time series"" (record); controller signals claimed by a secondary summary only","0","n.d.","designed setpoints","designed: feed × cutting speed × depth × material","n.d.","n.d.","n.d.","n.d.","n.d.","n.d. (per cut)","surface roughness + diameter deviation per cut","HDF5","0.98","unseen","1","1","3","1","1","3","3","2","2","A? P","1.40","1.30","2.00","2.20","S45","repository (signal list unverified)","2026-09-16","Strong planning candidate (actions to quality). The signal list must be verified from the file itself."
"R35","Harigovind et al. 2025","2","Kirloskar-TM40","Kirloskar Turnmaster 40 lathe","n.d.","lab","turning (Inconel-625)","Sensor-based turning dataset for surface roughness","10.17632/ybyhxv4czd.3","Mendeley Data","CC BY 4.0","green","tri-axial acceleration + 6-component dynamometer","0","forces, moments","setpoints as metadata","designed 3 × 3 × 3: 400/630/1,000 rpm × 0.05/0.1/0.16 mm/rev × 0.2/0.4/0.6 mm","n.d.","yes","n.d.","n.d.","n.d.","27 runs","surface roughness","CSV","4.4","unseen","0","1","3","1","3","3","3","3","3","A? P","1.30","1.65","1.85","2.50","S48","repository + paper","2026-09-16","Full factorial plan, but no drive signals."
"R36","Schibsdat 2026","2","TUHH-lathe","TUHH IPMT CNC lathe (model n.d.)","n.d.","lab","longitudinal turning","ExtraDrey tool wear experiment dataset","10.15480/882.17237","TUHH TORE","Public Domain Mark","green","forces, tool-side acceleration, AE, rake-face temperature","0","forces","fractional factorial setpoints","fractional factorial design, 2 materials","n.d.","yes","n.d.","0 (30 s experiments)","yes","n.d. (cutting edges to failure)","max flank wear","n.d.","n.d.","unseen","0","1","3","0","1","3","3","2","2","A? P","0.90","0.95","1.75","2.20","S44","repository","2026-09-16","30 s experiments."
"R37","Artabe Zamalloa et al. 2026","2","DIPC-drilling","n.d.","n.d.","lab","drilling (Inconel 718)","Tool wear in drilling of Inconel 718 plates","10.82518/ttacdo","DIPC Dataverse","CC BY 4.0","green","machine signals per hole (see README)","0","n.d.","different cutting conditions per drill","7 drill bits, varied conditions","n.d.","n.d.","short","n.d.","n.d.","7 drills","flank wear","ZIP, CSV","0.026","unseen","0","1","2","1","1","3","3","1","3","P","1.10","0.95","1.50","2.05","S47","repository","2026-09-16","README not read."
"R38","QIT milling dataset 2024","2","QIT-Ti-mill","n.d.","n.d.","lab","milling (Ti6Al4V)","Milling dataset from QIT (full tool life)","10.6084/m9.figshare.27323346.v2","figshare","CC BY 4.0","green","rotary dynamometer force and torque, vibration, sound","0","forces","n.d.","complex circumferential paths","n.d.","n.d.","n.d.","n.d.","n.d.","68 samples (≈5 M rows each)","wear images and values","RAR","11.7","unseen","0","0","1","1","3","3","3","1","1","X","0.70","1.25","0.90","1.95","S59","repository","2026-09-16","Wear-oriented, external sensors only."
"R39","Inconel 718 BBD dataset 2024","2","Inconel-BBD-mill","n.d.","n.d.","lab","milling (Inconel 718)","Multi-sensor power prediction, Box-Behnken design","10.7910/dvn/1g3ssb","Harvard Dataverse","CC BY-NC 4.0","amber","dynamometer, accelerometer, AE, power readings","0","power (location n.d.)","designed setpoints","Box-Behnken design, several geometric profiles","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","power, power per unit material","n.d.","≈0.5","unseen","1","1","3","1","1","2","1","2","2","A?","1.20","1.10","1.70","1.65","S58","repository","2026-09-16","NC licence."
"R40","Haber Guerra et al. 2022","2","GAMHE-mills","GAMHE 5.0 pilot line machines (n.d.)","n.d.","pilot line (CSIC)","micro and macro milling","AI for quality control: micro/macro milling","10.5281/zenodo.6303449","Zenodo","CC BY 4.0","green","vibration + cutting parameters","0","vibration","cutting parameters","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","surface roughness","n.d.","n.d.","unseen","0","1","1","1","1","3","3","1","2","P","1.00","0.95","1.15","1.90","S50","repository","2026-09-16","Quality-oriented."
"R41","CNC Solutions et al. 2025","2","iCNC-2sites","CNC machines at 2 sites (CNC Solutions, LMS Patras)","n.d.","industry + lab","milling","i-CNC chatter vibration dataset","10.5281/zenodo.15308467","Zenodo","CC BY 4.0","green","vibration + AI-derived chatter indicator","0","vibration","absent","trial events","n.d.","n.d.","n.d.","n.d.","n.d.","2 files","chatter indicator (model-generated)","CSV","n.d.","unseen","0","0","0","1","0","1","3","1","3","X","0.90","0.50","0.55","0.65","S51","repository","2026-09-16","The labels come from a model, not from ground truth."
"R53","Denkena et al. 2024","2","LUH-lathe","IFW lathe (model n.d.)","n.d.","lab","longitudinal turning (hybrid Al-steel)","Anomaly detection for hybrid workpieces using DTW","10.25835/ph65zrpv","LUIS (LUH)","CC BY-NC 3.0","amber","process signals (names n.d. in record)","0","n.d.","n.d.","error-free runs vs artificial grooves","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","groove location labels","n.d.","0.41","unseen; probably the same lathe as Denkena et al. (2026)","0","0","1","1","1","2","1","1","2","X","0.60","0.55","0.60","1.10","S46","repository","2026-09-16","Probably the Denkena et al. (2026) lathe (same institute and authors); NC licence."
"R42","ISW Stuttgart 2025","3","ISW-5axis-feeddrives","ISW five-axis milling machine (feed drives)","frequency inverter, PI velocity + P position","lab (Univ. Stuttgart)","axis motion (no cutting)","ISW feedforward / sliding-mode datasets (DaRUS 4513, 3900, 6114, 4746)","10.18419/darus-4513","DaRUS","CC BY 4.0","green","setpoints, feedforward, measured axis states (MAT/NetCDF; see setup.txt)","0","setpoint trajectories","direct (designed setpoints, sweeps)","system identification: constant velocities, sweeps, PRBS","n.d.","yes","n.d.","n.d.","n.d.","many measurements","tracking error","MAT, NetCDF","≈0.3","n/a","1","3","3","1","2","2","3","3","2","A","1.90","2.05","2.50","2.50","S36","repository","2026-09-16","Real excitation signals on a machine tool axis give action identifiability at the axis level."
"R43","Hinze et al. 2022–2023","3","ISW-ballscrew-bench","ISW ball screw + linear direct drive test bench","cascaded P-PI / sliding mode","lab","axis motion","ISW ball screw datasets (DaRUS 3252, 3292, 3152, 3003, 3109, 2563)","10.18419/darus-3003","DaRUS","CC BY 4.0 (2563, 3109); not stated in DataCite for 3252, 3292, 3152, 3003","amber","motor force/current, positions, velocities, nut forces (MAT)","0","nut force","direct (PRBS, sweeps, disturbance steps)","system identification","n.d.","yes","n.d.","n.d.","n.d.","many measurements","tracking error","MAT","n.d.","n/a","0","3","3","1","2","2","2","3","2","A","1.50","1.70","2.20","2.40","S37","repository","2026-09-16","Axis-level interventions; part of the licence metadata is missing."
"R44","Villoria et al. 2026","3","Leon-ballscrew","precision ball-screw feed axis bench","servo motion control","lab (Univ. León)","axis positioning","State-dependent ball-screw positioning error dataset","10.5281/zenodo.22768582","Zenodo","CC BY 4.0","green","commanded displacement, velocity, direction, laser interferometer error, temperatures","0","positioning error","direct (systematically varied kinematics)","designed kinematic conditions","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","positioning error","n.d.","n.d.","n/a","0","3","3","1","1","3","3","2","2","A P","1.50","1.45","2.35","2.70","S38","repository","2026-09-16","Action → outcome at the axis level."
"R45","Yao 2025","3","ballscrew-qaxis","ball screw test bench","self-sensing motor drive","lab","axis motion","Current and vibration signals for ball screw feed drive","10.21227/5vj0-3132","IEEE DataPort","CC BY 4.0","green","q-axis current at 800 Hz, worktable acceleration at 4 kHz","0","q-axis current","n.d.","healthy vs bent screw","800","n.d.","n.d.","n.d.","n.d.","n.d.","health class","n.d.","n.d.","n/a","0","0","1","1","1","2","3","1","2","X","0.80","0.75","0.90","1.30","S39","repository","2026-09-16","Fault classification bench."
"R46","Mehling et al. 2025","3","causRCA-lathe","industrial vertical lathe (KAMAX production; Schuster)","CNC via OPC UA; ISG hardware-in-the-loop twin","industry + HIL","turning (auxiliary systems)","causRCA","10.5281/zenodo.15876410","Zenodo","Apache-2.0","green","92 machine variables (probe, hydraulics, coolant, other), change-based OPC UA timestamps","0","auxiliary-system variables","fault injections in the HIL twin","170 normal real-operation sets + 100 fault sets (19 scenarios)","event-based","value-change times (ordering not guaranteed)","n.d.","n.d.","n.d.","270 datasets","root-cause labels + expert causal graph (92 nodes, 104 edges)","CSV, GML","n.d.","n/a","0","2","3","1","3","3","3","2","2","A P","1.30","1.75","2.10","2.75","S35","repository (full description)","2026-09-16","Only public machine-tool data with a ground-truth causal graph and known interventions, directly relevant to App. F."
"R47","SPARK dataset 2026","3","KIT-SPARK-22","22 industrial machines incl. DMG Mori DMU 125 monoBLOCK, mills, lathes","n/a (grid meters)","KIT Campus North workshop","mixed","SPARK high-resolution energy data","10.35097/bjdg3m3rg5jv3skk","KIT RADAR","CC BY 4.0","green","3-phase voltages and currents, active/reactive/apparent power, harmonics, THD at 5 s","0","grid-side power","absent","observational, 1-7 years","0.2","yes","years","no (5 s grid)","no","22 machines","none","CSV.XZ","n.d.","n/a","0","0","1","0","3","0","3","3","2","X","0.80","1.35","0.80","0.90","S49","repository","2026-09-16","Grid-side power is not spindle power. Long-horizon load profiles only."
"R48","Randomized-load motor dataset n.d.","3","motors-randomized","industrial AC motors 1-7.5 HP + HVAC motor","variable frequency drive","lab","motor test bench","Vibration, current, torque, RPM under randomized speed and load","10.17632/9r82jppsn7.1","Mendeley Data","CC BY 4.0","green","3-phase current at 100 kHz, vibration and torque at 25.6 kHz, RPM","0","motor-level","direct (VFD speed fluctuation 0-16 %, brake load 0/30/60/90 %)","randomized speed and load + faults","25600-100000","yes","n.d.","n.d.","n.d.","many recordings (>60 GB)","fault class","n.d.",">60","n/a","0","3","3","1","2","2","3","3","1","A","1.50","1.80","2.35","2.50","S53","paper","2026-09-16","Randomized interventions on drives."
"R49","Downs & Vogel 1993","3","TEP","Tennessee Eastman process (simulation)","simulated plant control","simulation","chemical process","Tennessee Eastman Process Dataset","10.21227/n7q3-4b49","IEEE DataPort","CC BY 4.0","green","process measurements + manipulated variables","0","n/a","direct (manipulated variables)","faults + normal operation","n.d.","yes","n.d.","n.d.","n.d.","n.d.","fault labels","n.d.","n.d.","n/a","0","3","2","1","2","2","3","2","2","A?","1.50","1.70","2.00","2.35","S54","repository","2026-09-16","A standard control benchmark for sanity-checking action conditioning outside CNC."
"R50","Pamplin 2026","3","Nottingham-robot-drill","Fanuc M800-iA robot + drilling end-effector","Fanuc 0i-F CNC","lab","robotic drilling","Robotic drilling cycles with anomalies","10.17639/nott.7629","Nottingham Research Data","CC BY-NC 4.0","amber","n.d. in record","0","n.d.","fixed (2,000 rpm, 150 mm/min) + anomalies incl. incorrect parameters","109 normal + 18 anomalous cycles","n.d.","n.d.","short","n.d.","n.d.","127 cycles","anomaly labels","n.d.","n.d.","n/a","0","1","1","1","3","2","1","1","2","—","0.80","1.25","0.85","1.65","S52","repository","2026-09-16","Fanuc CNC controller on a robot; NC licence."
"R51","Hedberg et al. 2016","3","NIST-SMS","NIST Manufacturing Lab (Mazak, Hurco)","MTConnect","lab","milling / turning","SMS Test Bed volatile data stream + query-able repository","10.18434/t4fk54","NIST","NIST open licence","green","MTConnect data items","0","MTConnect items","MTConnect","observational","event-based","yes","n.d.","n.d.","n.d.","n.d.","n.d.","XML","n.d.","n/a","0","1","1","1","1","0","3","2","0","—","0.90","1.05","1.15","0.85","S55","repository; service unreachable","2026-09-16","G1 fails today: smstestbed.nist.gov did not answer on 2026-09-16. Re-check."
"R52","KAMP n.d.","3","KAMP-CNC","Korean SME CNC equipment (n.d.)","n.d.","industry","machining","KAMP manufacturing AI datasets (CNC)","portal:kamp-ai.kr","KAMP portal","registration; redistribution of original data restricted","red","spindle speed, feed, depth; vibration, noise, temperature; roughness, dimensions (secondary source)","0","n.d.","setpoints","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","quality","n.d.","n.d.","n/a","0","1","1","1","1","2","0","0","0","—","0.40","0.55","0.70","1.25","S56","secondary","2026-09-16","Needs an account and restricts redistribution. Contact only with user approval."
